Branch,Cutoff,Category,College,College Code,Location
EE,26439,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,48497,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,34572,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,56689,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,72607,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,56651,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,19919,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,39285,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,45123,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,67012,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,74924,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,72352,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,104533,SCG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,54372,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,11398,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,21186,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,24974,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,64924,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,35828,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,72501,STG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,49939,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,8527,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,21803,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,26836,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,55973,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,44937,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,59331,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,92410,GMK,Dr. Ambedkar Institute Of Technology,E004,Bangalore
AI,209,GM,R. V. College of Engineering,E005,Bangalore
BT,2503,GM,R. V. College of Engineering,E005,Bangalore
CE,10651,GM,R. V. College of Engineering,E005,Bangalore
CH,3079,GM,R. V. College of Engineering,E005,Bangalore
CS,93,GM,R. V. College of Engineering,E005,Bangalore
EC,440,GM,R. V. College of Engineering,E005,Bangalore
EE,1028,GM,R. V. College of Engineering,E005,Bangalore
EI,2188,GM,R. V. College of Engineering,E005,Bangalore
ET,1299,GM,R. V. College of Engineering,E005,Bangalore
IE,158,GM,R. V. College of Engineering,E005,Bangalore
IM,9196,GM,R. V. College of Engineering,E005,Bangalore
ME,2851,GM,R. V. College of Engineering,E005,Bangalore
SE,1423,GM,R. V. College of Engineering,E005,Bangalore
AI,1402,1G,R. V. College of Engineering,E005,Bangalore
BT,9207,1G,R. V. College of Engineering,E005,Bangalore
CE,13213,1G,R. V. College of Engineering,E005,Bangalore
CH,,1G,R. V. College of Engineering,E005,Bangalore
CS,408,1G,R. V. College of Engineering,E005,Bangalore
EC,2582,1G,R. V. College of Engineering,E005,Bangalore
EE,7477,1G,R. V. College of Engineering,E005,Bangalore
EI,17932,1G,R. V. College of Engineering,E005,Bangalore
ET,9057,1G,R. V. College of Engineering,E005,Bangalore
IE,593,1G,R. V. College of Engineering,E005,Bangalore
IM,37868,1G,R. V. College of Engineering,E005,Bangalore
ME,6009,1G,R. V. College of Engineering,E005,Bangalore
SE,4228,1G,R. V. College of Engineering,E005,Bangalore
AI,628,2AG,R. V. College of Engineering,E005,Bangalore
BT,7171,2AG,R. V. College of Engineering,E005,Bangalore
CE,14615,2AG,R. V. College of Engineering,E005,Bangalore
CH,9171,2AG,R. V. College of Engineering,E005,Bangalore
CS,365,2AG,R. V. College of Engineering,E005,Bangalore
EC,2067,2AG,R. V. College of Engineering,E005,Bangalore
EE,2652,2AG,R. V. College of Engineering,E005,Bangalore
EI,10175,2AG,R. V. College of Engineering,E005,Bangalore
ET,7984,2AG,R. V. College of Engineering,E005,Bangalore
IE,495,2AG,R. V. College of Engineering,E005,Bangalore
IM,22149,2AG,R. V. College of Engineering,E005,Bangalore
ME,10239,2AG,R. V. College of Engineering,E005,Bangalore
SE,2966,2AG,R. V. College of Engineering,E005,Bangalore
AI,650,2BG,R. V. College of Engineering,E005,Bangalore
BT,7220,2BG,R. V. College of Engineering,E005,Bangalore
CE,15901,2BG,R. V. College of Engineering,E005,Bangalore
CH,,2BG,R. V. College of Engineering,E005,Bangalore
CS,400,2BG,R. V. College of Engineering,E005,Bangalore
EC,3554,2BG,R. V. College of Engineering,E005,Bangalore
EE,3747,2BG,R. V. College of Engineering,E005,Bangalore
EI,10990,2BG,R. V. College of Engineering,E005,Bangalore
ET,5585,2BG,R. V. College of Engineering,E005,Bangalore
IE,449,2BG,R. V. College of Engineering,E005,Bangalore
IM,18292,2BG,R. V. College of Engineering,E005,Bangalore
ME,3336,2BG,R. V. College of Engineering,E005,Bangalore
SE,3368,2BG,R. V. College of Engineering,E005,Bangalore
AI,575,3AG,R. V. College of Engineering,E005,Bangalore
BT,4832,3AG,R. V. College of Engineering,E005,Bangalore
CE,11184,3AG,R. V. College of Engineering,E005,Bangalore
CH,,3AG,R. V. College of Engineering,E005,Bangalore
CS,201,3AG,R. V. College of Engineering,E005,Bangalore
EC,989,3AG,R. V. College of Engineering,E005,Bangalore
EE,3063,3AG,R. V. College of Engineering,E005,Bangalore
EI,6865,3AG,R. V. College of Engineering,E005,Bangalore
ET,4250,3AG,R. V. College of Engineering,E005,Bangalore
IE,362,3AG,R. V. College of Engineering,E005,Bangalore
IM,19861,3AG,R. V. College of Engineering,E005,Bangalore
ME,3949,3AG,R. V. College of Engineering,E005,Bangalore
SE,3440,3AG,R. V. College of Engineering,E005,Bangalore
AI,,3BG,R. V. College of Engineering,E005,Bangalore
BT,4600,3BG,R. V. College of Engineering,E005,Bangalore
CE,11752,3BG,R. V. College of Engineering,E005,Bangalore
CH,6400,3BG,R. V. College of Engineering,E005,Bangalore
CS,275,3BG,R. V. College of Engineering,E005,Bangalore
EC,1285,3BG,R. V. College of Engineering,E005,Bangalore
EE,2175,3BG,R. V. College of Engineering,E005,Bangalore
EI,5263,3BG,R. V. College of Engineering,E005,Bangalore
ET,5565,3BG,R. V. College of Engineering,E005,Bangalore
IE,333,3BG,R. V. College of Engineering,E005,Bangalore
IM,22611,3BG,R. V. College of Engineering,E005,Bangalore
ME,4144,3BG,R. V. College of Engineering,E005,Bangalore
SE,2697,3BG,R. V. College of Engineering,E005,Bangalore
AI,3455,SCG,R. V. College of Engineering,E005,Bangalore
BT,11547,SCG,R. V. College of Engineering,E005,Bangalore
CE,23206,SCG,R. V. College of Engineering,E005,Bangalore
CH,18404,SCG,R. V. College of Engineering,E005,Bangalore
CS,1292,SCG,R. V. College of Engineering,E005,Bangalore
EC,6781,SCG,R. V. College of Engineering,E005,Bangalore
EE,6979,SCG,R. V. College of Engineering,E005,Bangalore
EI,30539,SCG,R. V. College of Engineering,E005,Bangalore
ET,18847,SCG,R. V. College of Engineering,E005,Bangalore
IE,3766,SCG,R. V. College of Engineering,E005,Bangalore
IM,41865,SCG,R. V. College of Engineering,E005,Bangalore
ME,23467,SCG,R. V. College of Engineering,E005,Bangalore
SE,11501,SCG,R. V. College of Engineering,E005,Bangalore
AI,2133,STG,R. V. College of Engineering,E005,Bangalore
BT,,STG,R. V. College of Engineering,E005,Bangalore
CE,16238,STG,R. V. College of Engineering,E005,Bangalore
CH,16479,STG,R. V. College of Engineering,E005,Bangalore
CS,2077,STG,R. V. College of Engineering,E005,Bangalore
EC,4507,STG,R. V. College of Engineering,E005,Bangalore
EE,,STG,R. V. College of Engineering,E005,Bangalore
EI,,STG,R. V. College of Engineering,E005,Bangalore
ET,,STG,R. V. College of Engineering,E005,Bangalore
IE,,STG,R. V. College of Engineering,E005,Bangalore
IM,,STG,R. V. College of Engineering,E005,Bangalore
ME,11776,STG,R. V. College of Engineering,E005,Bangalore
SE,,STG,R. V. College of Engineering,E005,Bangalore
AI,1476,GMK,R. V. College of Engineering,E005,Bangalore
